Vertices,Avg.Time Taken
3,0.0000
4,0.0000
5,0.0200
6,0.0000
7,0.0000
8,0.0200
9,0.0600
10,0.2600
11,0.3000
12,0.4400
13,0.9400
14,0.7400
15,1.2400
16,1.3800
17,0.9400
18,0.9200
19,1.7400
20,1.2200
21,2.9000
22,1.6000
23,2.5600
24,3.6400
25,2.8800
26,4.1200
27,3.6400
28,5.8800
29,5.2600
30,5.1400
31,5.6800
32,7.0000
33,7.0800
34,7.8200
35,7.3800
36,9.4400
37,10.4600
38,10.7000
39,10.1000
40,11.8800
41,12.6800
42,14.8200
43,14.8400
44,16.3200
45,16.7600
46,18.2400
47,19.6000
48,20.4600
49,21.7000
50,19.8200
